"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV1";"Potentiometer_ACP_CA9-H2,5_Horizontal";1;"100k";;;
2;"C1";"C_0805_2012Metric";1;"10n";;;
3;"C2,C7";"C_0805_2012Metric";2;"1u";;;
4;"C3,C4,C5,C6";"C_0805_2012Metric";4;"0.1u";;;
5;"D1,D2";"D_0805_2012Metric";2;"DIODE";;;
6;"IC1";"SOIC127P1150X280-8N";1;"AMC1211AQDWVRQ1";;;
7;"IC2";"DIP794W53P254L959H508Q8N";1;"INA114AP";;;
8;"J1,J2";"Pin_D1.0mm_L10.0mm";2;"Conn_01x01";;;
9;"J3";"Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal";1;"Conn_01x04";;;
10;"J4";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
11;"PS1";"Converter_DCDC_XP_POWER-ITXxxxxSA_THT";1;"ITX0505SA";;;
12;"R1,R2,R3";"R_1206_3216Metric";3;"3M";;;
13;"R4";"R_1206_3216Metric";1;"59k";;;
